Rank,Track,Artist1,Artist2,Album,Release,Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
73,Glory Days,Gabby Barrett,,Glory Days,2024-02-02,56,162880,0.646,0.776,7,-5.221,1,0.0514,0.00686,0,0.118,0.266,103.922
74,Water Under The Bridge,Sam Hunt,,Water Under The Bridge,2022-06-23,57,169760,0.635,0.866,5,-2.695,1,0.0473,0.0697,0,0.0955,0.853,133.889
75,Outrunnin' Your Memory,Luke Combs,Miranda Lambert,Growin' Up,2022-06-24,62,254746,0.601,0.836,1,-3.42,0,0.0342,0.0974,0,0.106,0.338,127.934
76,Last Night Lonely,Jon Pardi,,Last Night Lonely,2022-09-02,69,182161,0.652,0.813,6,-2.842,1,0.0268,0.00544,0,0.101,0.851,102.987
77,Drunk on You,burke.,,Drunk on You,2024-04-19,37,203756,0.446,0.852,5,-6.685,1,0.0601,0.00152,0,0.19,0.648,158.149
78,Tennessee Tuff,Terry Glen Adams,,Tennessee Tuff,2024-03-22,36,209555,0.693,0.768,8,-7.201,1,0.0283,0.148,0.0000103,0.336,0.763,124.015
79,If He Wanted To He Would,Kylie Morgan,,P.S.,2022-07-01,68,174173,0.655,0.617,0,-4.716,1,0.026,0.0998,0,0.211,0.734,90.015
80,Like I Love Country Music,Kane Brown,,Like I Love Country Music,2022-05-06,62,234340,0.542,0.82,8,-6.073,1,0.0432,0.000682,0.000136,0.0561,0.702,124.85
81,Dancin’ In The Country,Tyler Hubbard,,Dancin' In The Country,2023-01-27,72,179640,0.657,0.871,7,-4.614,1,0.0675,0.0031,0,0.102,0.532,114.974
82,What My World Spins Around,Jordan Davis,,What My World Spins Around,2023-02-17,74,186800,0.686,0.733,2,-6.483,1,0.0401,0.111,0,0.153,0.7,124.882
83,Miles Run Out,Zebb Rogers,,Miles Run Out,2024-04-12,37,195846,0.648,0.632,8,-7.619,1,0.0441,0.158,0,0.11,0.936,151.988
84,Half Of Me,Thomas Rhett,Riley Green,Where We Started,2022-04-01,67,183026,0.575,0.842,7,-5.058,1,0.0348,0.00683,0,0.279,0.665,111.995
85,Backroad,Sul Ross Band,,Good Gone Bad,2015-06-01,36,228266,0.471,0.807,9,-5.026,0,0.0349,0.159,0,0.125,0.548,159.964
86,Fall In Love,Bailey Zimmerman,,Fall In Love,2023-01-11,75,232058,0.524,0.643,9,-6.055,1,0.0297,0.451,0,0.221,0.397,135.962
87,Don't Think Jesus,Morgan Wallen,,Don't Think Jesus,2022-04-15,58,226975,0.578,0.431,2,-7.034,1,0.0269,0.469,0,0.137,0.21,116.979
